coefficient
2.48
2.99
1.06
1.04
1.93
7.66
2.99
1.76
1.0
3.88
2.56
1.15
5.87
1.03
2.3
1.52
8.91
1.54
1.49
2.32
1.59
3.56
1.17
2.43
1.24
9.88
22.09
1.06
3.49
2.77
1.77
2.01
1.3
1.0
1.43
1.31
1.47
1.22
3.43
2.6
1.64
1.87
1.23
1.59
8.31
1.82
1.48
1.28
1.16
2.02
1.16
1.12
2.41
5.01
2.05
2.25
2.09
8.71
1.29
1.07
1.76
1.41
1.09
1.92
4.3
2.14
1.33
7.67
3.48
4.8
37.91
1.17
2.88
1.16
5.97
2.0
1.57
1.13
1.4
3.8
1.07
8.28
3.37
